Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
Epoch  116 , loss: 0.5605177879333496
Epoch  120 , loss: 0.4966866374015808
Epoch  124 , loss: 0.371545672416687
Epoch  128 , loss: 0.5742924213409424
Epoch  132 , loss: 0.5120280981063843
Epoch  136 , loss: 0.6795434951782227
Epoch  140 , loss: 0.5116466879844666
Epoch  144 , loss: 0.550582230091095
Epoch  148 , loss: 0.5685833096504211
Epoch  152 , loss: 0.4476643204689026
Epoch  156 , loss: 0.4249626696109772
Epoch  160 , loss: 0.5572431087493896
Epoch  164 , loss: 0.2375507801771164
Epoch  168 , loss: 0.41530248522758484
Epoch  172 , loss: 0.47170811891555786
Epoch  176 , loss: 0.5421842336654663
Epoch  180 , loss: 0.3671731650829315
Epoch  184 , loss: 0.2325354963541031
Epoch  188 , loss: 0.4735294580459595
Epoch  192 , loss: 0.4591327905654907
Epoch  196 , loss: 0.35931870341300964
Epoch  200 , loss: 0.44942888617515564
Epoch  204 , loss: 0.7710246443748474
Epoch  208 , loss: 0.437387079000473
Epoch  212 , loss: 0.47226396203041077
Epoch  216 , loss: 0.6444079279899597
Epoch  220 , loss: 0.27975568175315857
Epoch  224 , loss: 0.44034165143966675
Epoch  228 , loss: 0.4761269688606262
Epoch  232 , loss: 0.32484182715415955
Epoch  236 , loss: 0.27788081765174866
Epoch  240 , loss: 0.1773451268672943
Epoch  244 , loss: 0.15450730919837952
Epoch  248 , loss: 0.33099448680877686
Epoch  252 , loss: 0.17410153150558472
Epoch  256 , loss: 0.20820029079914093
Epoch  260 , loss: 0.0445234514772892
Epoch  264 , loss: 0.3985605835914612
Epoch  268 , loss: 0.28800350427627563
Epoch  272 , loss: 0.06712575256824493
Epoch  276 , loss: 0.18385113775730133
Epoch  280 , loss: 0.7038006782531738
Epoch  284 , loss: 0.16417257487773895
Epoch  288 , loss: 0.0032879486680030823
Epoch  292 , loss: 0.01934402994811535
Epoch  296 , loss: 0.02091798186302185
Epoch  300 , loss: 0.421881765127182
Epoch  304 , loss: 0.12242019176483154
Epoch  308 , loss: 0.0670088604092598
Epoch  312 , loss: 0.20819653570652008
Epoch  316 , loss: 0.0066113038919866085
Epoch  320 , loss: 0.007912705652415752
Epoch  324 , loss: 0.01145502645522356
Epoch  328 , loss: 0.06629154831171036
Epoch  332 , loss: 0.045826975256204605
Epoch  336 , loss: 0.057959359139204025
Epoch  340 , loss: 0.06231902539730072
Epoch  344 , loss: 0.039788730442523956
Epoch  348 , loss: 0.09441044926643372
Epoch  352 , loss: 0.009197458624839783
Epoch  356 , loss: 0.057228200137615204
Epoch  360 , loss: 0.4649522602558136
Epoch  364 , loss: 0.22934187948703766
Epoch  368 , loss: 0.025684885680675507
Epoch  372 , loss: 0.12424884736537933
Epoch  376 , loss: 0.07990651577711105
Epoch  380 , loss: 0.03151853010058403
Epoch  384 , loss: 0.04249973222613335
Epoch  388 , loss: 0.05042823776602745
Epoch  392 , loss: 0.29001685976982117
Epoch  396 , loss: 0.1832202523946762
Epoch  400 , loss: 0.04472216218709946
Epoch  404 , loss: 0.14786610007286072
Epoch  408 , loss: 0.034512195736169815
Epoch  412 , loss: 0.3694392442703247
Epoch  416 , loss: 0.005102076567709446
Epoch  420 , loss: 0.1571226865053177
Epoch  424 , loss: 0.2757527232170105
Epoch  428 , loss: 0.22544920444488525
Epoch  432 , loss: 0.09684252738952637
Epoch  436 , loss: 0.17748400568962097
Epoch  440 , loss: 0.04560865834355354
Epoch  444 , loss: 0.00527583621442318
Epoch  448 , loss: 0.0018684434471651912
Epoch  452 , loss: 0.004696437623351812
Epoch  456 , loss: 0.15406781435012817
Epoch  460 , loss: 0.003475540317595005
Epoch  464 , loss: 0.030980121344327927
Epoch  468 , loss: 0.09348082542419434
Epoch  472 , loss: 0.026282578706741333
Epoch  476 , loss: 0.001962123904377222
Epoch  480 , loss: 0.20300745964050293
Epoch  484 , loss: 0.0011520057450979948
Epoch  488 , loss: 0.00856337696313858
Epoch  492 , loss: 0.790389358997345
Epoch  496 , loss: 0.12910130620002747
Epoch  500 , loss: 0.8658828139305115
Epoch  504 , loss: 0.03679640591144562
Epoch  508 , loss: 0.0006406448082998395
Epoch  512 , loss: 0.5784440636634827
Epoch  516 , loss: 0.003594353562220931
Epoch  520 , loss: 0.07247436791658401
Epoch  524 , loss: 0.026156160980463028
Epoch  528 , loss: 0.10041914880275726
Epoch  532 , loss: 0.001409807475283742
Epoch  536 , loss: 0.722682774066925
Epoch  540 , loss: 0.014340989291667938
Epoch  544 , loss: 0.15916292369365692
Epoch  548 , loss: 0.3206653594970703
Epoch  552 , loss: 0.19610756635665894
Epoch  556 , loss: 0.4049939513206482
Epoch  560 , loss: 0.007285763043910265
Epoch  564 , loss: 0.001588294981047511
Epoch  568 , loss: 0.766819179058075
Epoch  572 , loss: 0.005839505698531866
Epoch  576 , loss: 0.005616636946797371
Epoch  580 , loss: 0.04346800222992897
Epoch  584 , loss: 0.017275825142860413
Epoch  588 , loss: 0.032581791281700134
Epoch  592 , loss: 0.24516360461711884
Epoch  596 , loss: 0.04124061390757561
Reached end
Predicted tensor([ 1.3305, -0.3206]) Actual tensor([1., 0.])
Predicted tensor([0.4488, 0.5294]) Actual tensor([0., 1.])
Predicted tensor([0.4915, 0.5149]) Actual tensor([0., 1.])
Predicted tensor([0.4765, 0.5199]) Actual tensor([0., 1.])
Predicted tensor([0.7889, 0.1545]) Actual tensor([1., 0.])
Predicted tensor([0.5447, 0.4346]) Actual tensor([1., 0.])
Predicted tensor([0.2739, 0.7227]) Actual tensor([0., 1.])
Predicted tensor([0.4444, 0.5723]) Actual tensor([0., 1.])
Predicted tensor([0.0637, 0.9226]) Actual tensor([0., 1.])
Predicted tensor([0.9388, 0.0646]) Actual tensor([0., 1.])
Predicted tensor([0.6029, 0.4131]) Actual tensor([1., 0.])
Predicted tensor([0.9366, 0.0590]) Actual tensor([1., 0.])
Predicted tensor([0.6416, 0.3084]) Actual tensor([1., 0.])
Predicted tensor([0.3859, 0.6057]) Actual tensor([1., 0.])
Predicted tensor([0.3726, 0.6339]) Actual tensor([1., 0.])
Predicted tensor([0.5233, 0.4609]) Actual tensor([0., 1.])
Predicted tensor([0.0624, 0.9287]) Actual tensor([0., 1.])
Predicted tensor([0.1625, 0.8177]) Actual tensor([0., 1.])
Predicted tensor([0.3565, 0.6439]) Actual tensor([1., 0.])
Predicted tensor([0.9183, 0.0686]) Actual tensor([1., 0.])
Predicted tensor([0.2874, 0.7468]) Actual tensor([0., 1.])
Predicted tensor([ 0.9825, -0.0153]) Actual tensor([1., 0.])
Predicted tensor([0.3659, 0.6543]) Actual tensor([0., 1.])
Predicted tensor([0.2739, 0.6887]) Actual tensor([0., 1.])
Predicted tensor([0.4531, 0.5534]) Actual tensor([1., 0.])
Predicted tensor([0.0934, 0.9039]) Actual tensor([0., 1.])
Predicted tensor([0.7870, 0.2150]) Actual tensor([1., 0.])
Predicted tensor([-0.0659,  1.0809]) Actual tensor([0., 1.])
Predicted tensor([0.8176, 0.1817]) Actual tensor([1., 0.])
Predicted tensor([0.3234, 0.6354]) Actual tensor([0., 1.])
Predicted tensor([0.3198, 0.6920]) Actual tensor([0., 1.])
Predicted tensor([ 1.1171, -0.0626]) Actual tensor([1., 0.])
Predicted tensor([0.4631, 0.5420]) Actual tensor([1., 0.])
Predicted tensor([0.3275, 0.6834]) Actual tensor([0., 1.])
Predicted tensor([0.8384, 0.2202]) Actual tensor([0., 1.])
Predicted tensor([0.2583, 0.7513]) Actual tensor([1., 0.])
Predicted tensor([0.1996, 0.8412]) Actual tensor([0., 1.])
Predicted tensor([0.3467, 0.6360]) Actual tensor([0., 1.])
Predicted tensor([0.9224, 0.0707]) Actual tensor([1., 0.])
Predicted tensor([0.4778, 0.5452]) Actual tensor([0., 1.])
Predicted tensor([0.5291, 0.4747]) Actual tensor([1., 0.])
Predicted tensor([0.0838, 0.9131]) Actual tensor([0., 1.])
Predicted tensor([ 1.3848, -0.3858]) Actual tensor([1., 0.])
Predicted tensor([0.4867, 0.4972]) Actual tensor([1., 0.])
Predicted tensor([0.3649, 0.6396]) Actual tensor([0., 1.])
Predicted tensor([0.0476, 0.9449]) Actual tensor([0., 1.])
Predicted tensor([0.2155, 0.7977]) Actual tensor([0., 1.])
Predicted tensor([0.7519, 0.3279]) Actual tensor([1., 0.])
Predicted tensor([0.4734, 0.5317]) Actual tensor([1., 0.])
Predicted tensor([0.5178, 0.4631]) Actual tensor([1., 0.])
Predicted tensor([ 1.0542, -0.0822]) Actual tensor([1., 0.])
Predicted tensor([0.5446, 0.4579]) Actual tensor([1., 0.])
Predicted tensor([0.2903, 0.7126]) Actual tensor([0., 1.])
Predicted tensor([0.4075, 0.5974]) Actual tensor([1., 0.])
Predicted tensor([0.5645, 0.4475]) Actual tensor([0., 1.])
Predicted tensor([0.5124, 0.4544]) Actual tensor([0., 1.])
Predicted tensor([0.3719, 0.6486]) Actual tensor([0., 1.])
Predicted tensor([0.6076, 0.3600]) Actual tensor([1., 0.])
Predicted tensor([0.3351, 0.6429]) Actual tensor([0., 1.])
Predicted tensor([ 1.1929, -0.2147]) Actual tensor([1., 0.])
Predicted tensor([0.8142, 0.1743]) Actual tensor([1., 0.])
Predicted tensor([0.4112, 0.6284]) Actual tensor([1., 0.])
Predicted tensor([ 1.0615, -0.0716]) Actual tensor([1., 0.])
Predicted tensor([0.2863, 0.6701]) Actual tensor([1., 0.])
Predicted tensor([0.2553, 0.7466]) Actual tensor([0., 1.])
Predicted tensor([0.0587, 0.9767]) Actual tensor([0., 1.])
Predicted tensor([0.4722, 0.5677]) Actual tensor([1., 0.])
Predicted tensor([0.8300, 0.1249]) Actual tensor([1., 0.])
Predicted tensor([0.0988, 0.8954]) Actual tensor([0., 1.])
Predicted tensor([0.2592, 0.7491]) Actual tensor([0., 1.])
Predicted tensor([-0.0442,  1.0482]) Actual tensor([0., 1.])
Predicted tensor([0.5995, 0.4184]) Actual tensor([0., 1.])
Predicted tensor([0.1576, 0.8231]) Actual tensor([0., 1.])
Predicted tensor([0.2861, 0.7290]) Actual tensor([0., 1.])
Predicted tensor([0.5164, 0.4969]) Actual tensor([1., 0.])
Predicted tensor([0.1737, 0.8767]) Actual tensor([1., 0.])
Predicted tensor([0.4280, 0.6019]) Actual tensor([1., 0.])
Predicted tensor([0.0990, 0.9308]) Actual tensor([0., 1.])
Predicted tensor([0.6467, 0.3729]) Actual tensor([1., 0.])
Predicted tensor([0.3184, 0.7042]) Actual tensor([0., 1.])
Predicted tensor([0.7825, 0.2749]) Actual tensor([1., 0.])
Predicted tensor([0.2194, 0.7847]) Actual tensor([1., 0.])
Predicted tensor([0.3516, 0.6826]) Actual tensor([0., 1.])
Predicted tensor([0.3059, 0.7034]) Actual tensor([0., 1.])
Predicted tensor([0.1485, 0.8348]) Actual tensor([1., 0.])
Predicted tensor([0.5372, 0.4305]) Actual tensor([0., 1.])
Predicted tensor([0.9318, 0.0922]) Actual tensor([1., 0.])
Predicted tensor([0.5816, 0.4799]) Actual tensor([1., 0.])
Predicted tensor([0.0027, 0.9659]) Actual tensor([0., 1.])
Predicted tensor([0.8071, 0.2336]) Actual tensor([1., 0.])
Predicted tensor([0.1719, 0.8164]) Actual tensor([0., 1.])
Predicted tensor([0.7578, 0.2326]) Actual tensor([1., 0.])
Predicted tensor([-0.1891,  1.1835]) Actual tensor([0., 1.])
Predicted tensor([0.9747, 0.0472]) Actual tensor([1., 0.])
Predicted tensor([0.9016, 0.0722]) Actual tensor([0., 1.])
Predicted tensor([0.3850, 0.6263]) Actual tensor([1., 0.])
Predicted tensor([0.5233, 0.4988]) Actual tensor([1., 0.])
Predicted tensor([0.1267, 0.8863]) Actual tensor([0., 1.])
Predicted tensor([0.2746, 0.6918]) Actual tensor([1., 0.])
Predicted tensor([ 1.2482, -0.2518]) Actual tensor([1., 0.])
Predicted tensor([0.4654, 0.5240]) Actual tensor([1., 0.])
Predicted tensor([0.2494, 0.7089]) Actual tensor([1., 0.])
Predicted tensor([0.2822, 0.7162]) Actual tensor([0., 1.])
Predicted tensor([0.3419, 0.7095]) Actual tensor([1., 0.])
Predicted tensor([0.2141, 0.7667]) Actual tensor([0., 1.])
Predicted tensor([0.4963, 0.4782]) Actual tensor([1., 0.])
Predicted tensor([0.5266, 0.5211]) Actual tensor([0., 1.])
Predicted tensor([0.6061, 0.4025]) Actual tensor([0., 1.])
Predicted tensor([0.8277, 0.2235]) Actual tensor([1., 0.])
Predicted tensor([0.0360, 0.9688]) Actual tensor([0., 1.])
Predicted tensor([0.8282, 0.1586]) Actual tensor([1., 0.])
Predicted tensor([0.9907, 0.0506]) Actual tensor([1., 0.])
Predicted tensor([-0.0625,  1.0759]) Actual tensor([1., 0.])
Predicted tensor([0.3924, 0.6066]) Actual tensor([0., 1.])
Predicted tensor([ 1.2271, -0.2237]) Actual tensor([1., 0.])
Predicted tensor([0.8654, 0.1562]) Actual tensor([1., 0.])
Predicted tensor([0.4285, 0.5971]) Actual tensor([1., 0.])
Predicted tensor([0.2501, 0.7350]) Actual tensor([0., 1.])
Predicted tensor([0.8576, 0.1441]) Actual tensor([1., 0.])
Predicted tensor([0.2723, 0.7178]) Actual tensor([0., 1.])
Predicted tensor([0.4159, 0.5497]) Actual tensor([0., 1.])
Predicted tensor([ 1.3886, -0.3854]) Actual tensor([1., 0.])
Predicted tensor([0.2063, 0.7984]) Actual tensor([1., 0.])
Predicted tensor([0.2390, 0.7415]) Actual tensor([0., 1.])
Predicted tensor([0.9442, 0.0295]) Actual tensor([1., 0.])
Predicted tensor([0.5395, 0.4387]) Actual tensor([1., 0.])
Predicted tensor([0.2336, 0.7232]) Actual tensor([1., 0.])
Predicted tensor([0.1046, 0.8927]) Actual tensor([0., 1.])
Predicted tensor([1.0265, 0.0032]) Actual tensor([1., 0.])
Predicted tensor([0.4577, 0.5555]) Actual tensor([0., 1.])
Predicted tensor([0.9163, 0.0733]) Actual tensor([1., 0.])
Predicted tensor([0.0837, 0.9413]) Actual tensor([0., 1.])
Predicted tensor([0.1610, 0.8271]) Actual tensor([0., 1.])
Predicted tensor([0.8366, 0.1856]) Actual tensor([1., 0.])
Predicted tensor([0.3260, 0.7131]) Actual tensor([1., 0.])
Predicted tensor([0.8072, 0.1383]) Actual tensor([1., 0.])
Predicted tensor([0.4889, 0.4764]) Actual tensor([0., 1.])
Predicted tensor([0.3233, 0.6509]) Actual tensor([0., 1.])
Predicted tensor([0.1619, 0.8944]) Actual tensor([0., 1.])
Predicted tensor([0.6214, 0.3728]) Actual tensor([0., 1.])
Predicted tensor([0.7951, 0.2207]) Actual tensor([1., 0.])
Predicted tensor([ 1.2137, -0.2261]) Actual tensor([1., 0.])
Predicted tensor([0.1016, 0.8913]) Actual tensor([0., 1.])
Predicted tensor([0.2559, 0.7334]) Actual tensor([0., 1.])
Predicted tensor([0.3624, 0.6662]) Actual tensor([0., 1.])
Predicted tensor([0.3800, 0.6203]) Actual tensor([0., 1.])
Predicted tensor([0.2080, 0.7755]) Actual tensor([0., 1.])
Predicted tensor([0.7332, 0.3139]) Actual tensor([1., 0.])
Predicted tensor([0.5524, 0.4300]) Actual tensor([0., 1.])
Predicted tensor([0.5515, 0.4497]) Actual tensor([1., 0.])
Predicted tensor([0.9365, 0.0741]) Actual tensor([1., 0.])
Predicted tensor([0.2316, 0.7947]) Actual tensor([0., 1.])
Predicted tensor([0.2016, 0.7711]) Actual tensor([0., 1.])
Predicted tensor([0.0059, 0.9717]) Actual tensor([0., 1.])
Predicted tensor([0.2906, 0.7065]) Actual tensor([1., 0.])
Predicted tensor([0.5096, 0.4888]) Actual tensor([1., 0.])
Predicted tensor([0.6502, 0.3493]) Actual tensor([1., 0.])
Predicted tensor([0.9550, 0.0438]) Actual tensor([1., 0.])
Predicted tensor([0.1118, 0.9124]) Actual tensor([0., 1.])
Predicted tensor([0.3809, 0.5783]) Actual tensor([0., 1.])
Predicted tensor([0.2801, 0.7118]) Actual tensor([1., 0.])
Predicted tensor([0.7264, 0.3083]) Actual tensor([1., 0.])
Predicted tensor([0.4085, 0.6020]) Actual tensor([0., 1.])
Predicted tensor([0.7854, 0.2001]) Actual tensor([1., 0.])
Predicted tensor([0.2107, 0.8115]) Actual tensor([0., 1.])
Predicted tensor([0.4302, 0.5995]) Actual tensor([0., 1.])
Predicted tensor([0.6302, 0.4018]) Actual tensor([1., 0.])
Predicted tensor([0.2363, 0.7756]) Actual tensor([0., 1.])
Predicted tensor([0.5627, 0.4049]) Actual tensor([1., 0.])
Predicted tensor([-0.1131,  1.1239]) Actual tensor([0., 1.])
Predicted tensor([0.9008, 0.1138]) Actual tensor([1., 0.])
Predicted tensor([0.3993, 0.5862]) Actual tensor([0., 1.])
Predicted tensor([0.2007, 0.8010]) Actual tensor([0., 1.])
Predicted tensor([0.6924, 0.2727]) Actual tensor([1., 0.])
Predicted tensor([0.3500, 0.6585]) Actual tensor([0., 1.])
Predicted tensor([0.2542, 0.6991]) Actual tensor([0., 1.])
Predicted tensor([0.9072, 0.0651]) Actual tensor([1., 0.])
Predicted tensor([-0.0382,  1.0537]) Actual tensor([0., 1.])
Predicted tensor([0.7560, 0.2354]) Actual tensor([1., 0.])
Predicted tensor([0.2001, 0.7917]) Actual tensor([0., 1.])
Predicted tensor([0.1913, 0.7931]) Actual tensor([0., 1.])
Predicted tensor([ 1.0757, -0.0394]) Actual tensor([1., 0.])
Predicted tensor([0.3551, 0.6613]) Actual tensor([1., 0.])
Predicted tensor([0.1656, 0.8666]) Actual tensor([0., 1.])
Predicted tensor([0.1966, 0.7715]) Actual tensor([1., 0.])
Predicted tensor([0.1805, 0.8270]) Actual tensor([0., 1.])
Predicted tensor([0.0996, 0.8872]) Actual tensor([0., 1.])
Predicted tensor([ 1.0241, -0.0443]) Actual tensor([1., 0.])
Predicted tensor([0.7463, 0.2081]) Actual tensor([1., 0.])
Predicted tensor([0.0078, 0.9953]) Actual tensor([0., 1.])
Predicted tensor([0.2391, 0.7615]) Actual tensor([0., 1.])
Predicted tensor([0.7935, 0.2339]) Actual tensor([1., 0.])
Predicted tensor([0.2362, 0.7969]) Actual tensor([0., 1.])
Predicted tensor([0.5664, 0.4160]) Actual tensor([0., 1.])
Predicted tensor([0.1717, 0.8246]) Actual tensor([0., 1.])
Predicted tensor([0.8161, 0.2157]) Actual tensor([1., 0.])
Predicted tensor([0.3119, 0.6954]) Actual tensor([1., 0.])
Predicted tensor([0.2482, 0.7784]) Actual tensor([1., 0.])
Predicted tensor([-0.0077,  0.9893]) Actual tensor([0., 1.])
Predicted tensor([0.3261, 0.6692]) Actual tensor([1., 0.])
Predicted tensor([0.1974, 0.7975]) Actual tensor([0., 1.])
Predicted tensor([0.8674, 0.1817]) Actual tensor([1., 0.])
Predicted tensor([0.2377, 0.7469]) Actual tensor([0., 1.])
Predicted tensor([0.4394, 0.6025]) Actual tensor([0., 1.])
Predicted tensor([0.7523, 0.2573]) Actual tensor([1., 0.])
Predicted tensor([0.6725, 0.3500]) Actual tensor([1., 0.])
Predicted tensor([0.9238, 0.0854]) Actual tensor([1., 0.])
Predicted tensor([0.6944, 0.2724]) Actual tensor([1., 0.])
Predicted tensor([0.3015, 0.7332]) Actual tensor([1., 0.])
Predicted tensor([0.3355, 0.6614]) Actual tensor([1., 0.])
Predicted tensor([-0.0175,  1.0335]) Actual tensor([0., 1.])
Predicted tensor([0.3555, 0.6648]) Actual tensor([0., 1.])
Predicted tensor([0.4485, 0.5669]) Actual tensor([1., 0.])
Predicted tensor([0.1682, 0.8364]) Actual tensor([0., 1.])
Predicted tensor([0.2861, 0.7184]) Actual tensor([0., 1.])
Predicted tensor([0.6676, 0.3378]) Actual tensor([1., 0.])
Predicted tensor([0.7588, 0.2545]) Actual tensor([0., 1.])
Predicted tensor([0.2664, 0.7358]) Actual tensor([0., 1.])
Predicted tensor([1.0484, 0.0401]) Actual tensor([1., 0.])
Predicted tensor([0.3397, 0.6700]) Actual tensor([1., 0.])
Predicted tensor([0.2173, 0.7664]) Actual tensor([1., 0.])
Predicted tensor([0.4440, 0.5302]) Actual tensor([1., 0.])
Predicted tensor([0.7277, 0.2668]) Actual tensor([1., 0.])
Predicted tensor([0.3453, 0.6707]) Actual tensor([0., 1.])
Predicted tensor([0.2801, 0.7308]) Actual tensor([1., 0.])
Predicted tensor([0.3610, 0.6821]) Actual tensor([1., 0.])
Predicted tensor([0.5204, 0.4685]) Actual tensor([1., 0.])
Predicted tensor([0.1274, 0.8492]) Actual tensor([0., 1.])
Predicted tensor([-0.0049,  1.0072]) Actual tensor([0., 1.])
Predicted tensor([0.3691, 0.6187]) Actual tensor([0., 1.])
Predicted tensor([0.6637, 0.3379]) Actual tensor([0., 1.])
Predicted tensor([0.7334, 0.2364]) Actual tensor([1., 0.])
Predicted tensor([0.9353, 0.0617]) Actual tensor([1., 0.])
Predicted tensor([0.0999, 0.9373]) Actual tensor([0., 1.])
Predicted tensor([0.1080, 0.9569]) Actual tensor([1., 0.])
Predicted tensor([0.2258, 0.7622]) Actual tensor([0., 1.])
Predicted tensor([0.7483, 0.2813]) Actual tensor([0., 1.])
Predicted tensor([0.4057, 0.5719]) Actual tensor([0., 1.])
Predicted tensor([0.2269, 0.7609]) Actual tensor([0., 1.])
Predicted tensor([0.1512, 0.8534]) Actual tensor([0., 1.])
Predicted tensor([0.6960, 0.2822]) Actual tensor([1., 0.])
Predicted tensor([0.1820, 0.8627]) Actual tensor([0., 1.])
Predicted tensor([0.0996, 0.8835]) Actual tensor([0., 1.])
Predicted tensor([ 1.2902, -0.2890]) Actual tensor([1., 0.])
Predicted tensor([ 0.9777, -0.0061]) Actual tensor([1., 0.])
Predicted tensor([0.3887, 0.6148]) Actual tensor([1., 0.])
Predicted tensor([0.6841, 0.2788]) Actual tensor([0., 1.])
Predicted tensor([0.2892, 0.6836]) Actual tensor([1., 0.])
Predicted tensor([0.2190, 0.7871]) Actual tensor([0., 1.])
Predicted tensor([0.1895, 0.8024]) Actual tensor([0., 1.])
Predicted tensor([0.1644, 0.8145]) Actual tensor([0., 1.])
Predicted tensor([ 0.9882, -0.0405]) Actual tensor([1., 0.])
Predicted tensor([0.8508, 0.1127]) Actual tensor([1., 0.])
Predicted tensor([ 1.1601, -0.1915]) Actual tensor([1., 0.])
Predicted tensor([0.3891, 0.6092]) Actual tensor([0., 1.])
Predicted tensor([0.3751, 0.6134]) Actual tensor([0., 1.])
Predicted tensor([0.3689, 0.5628]) Actual tensor([0., 1.])
Predicted tensor([ 1.1414, -0.1245]) Actual tensor([1., 0.])
Predicted tensor([0.1565, 0.8679]) Actual tensor([0., 1.])
Predicted tensor([0.1405, 0.8628]) Actual tensor([0., 1.])
Predicted tensor([0.4034, 0.5942]) Actual tensor([1., 0.])
Predicted tensor([0.2031, 0.8413]) Actual tensor([0., 1.])
Predicted tensor([ 1.0666, -0.0196]) Actual tensor([1., 0.])
Predicted tensor([0.6702, 0.3091]) Actual tensor([1., 0.])
Predicted tensor([0.6037, 0.4036]) Actual tensor([1., 0.])
Predicted tensor([0.1981, 0.8267]) Actual tensor([0., 1.])
Predicted tensor([0.4314, 0.5715]) Actual tensor([1., 0.])
Predicted tensor([0.1475, 0.8197]) Actual tensor([0., 1.])
Predicted tensor([0.2544, 0.7420]) Actual tensor([0., 1.])
Predicted tensor([0.1584, 0.8223]) Actual tensor([0., 1.])
Predicted tensor([0.3352, 0.6665]) Actual tensor([0., 1.])
Predicted tensor([0.5500, 0.4511]) Actual tensor([1., 0.])
Predicted tensor([0.4663, 0.5298]) Actual tensor([1., 0.])
Predicted tensor([-0.2768,  1.3085]) Actual tensor([0., 1.])
Predicted tensor([0.9168, 0.0620]) Actual tensor([1., 0.])
Predicted tensor([0.2259, 0.7575]) Actual tensor([0., 1.])
Predicted tensor([0.8244, 0.2097]) Actual tensor([1., 0.])
Predicted tensor([0.7176, 0.3012]) Actual tensor([1., 0.])
Predicted tensor([0.7385, 0.2764]) Actual tensor([0., 1.])
Predicted tensor([-0.0248,  1.0025]) Actual tensor([0., 1.])
Predicted tensor([0.9279, 0.0744]) Actual tensor([1., 0.])
Predicted tensor([0.4878, 0.4868]) Actual tensor([1., 0.])
Predicted tensor([0.5326, 0.4880]) Actual tensor([1., 0.])
Predicted tensor([0.0757, 0.9345]) Actual tensor([0., 1.])
Predicted tensor([0.1868, 0.7748]) Actual tensor([1., 0.])
Predicted tensor([0.2074, 0.7892]) Actual tensor([0., 1.])
Predicted tensor([0.3102, 0.7109]) Actual tensor([0., 1.])
Predicted tensor([0.1900, 0.8000]) Actual tensor([1., 0.])
Predicted tensor([0.2420, 0.7742]) Actual tensor([1., 0.])
Predicted tensor([-0.0870,  1.0629]) Actual tensor([0., 1.])
Predicted tensor([0.5596, 0.4386]) Actual tensor([0., 1.])
Predicted tensor([0.1354, 0.8720]) Actual tensor([0., 1.])
Predicted tensor([0.6963, 0.3146]) Actual tensor([1., 0.])
Predicted tensor([0.6652, 0.3785]) Actual tensor([1., 0.])
Predicted tensor([0.8352, 0.2009]) Actual tensor([1., 0.])
Predicted tensor([0.2186, 0.7786]) Actual tensor([0., 1.])
Predicted tensor([0.2670, 0.7136]) Actual tensor([0., 1.])
Predicted tensor([0.8477, 0.1791]) Actual tensor([1., 0.])
Predicted tensor([0.2568, 0.7453]) Actual tensor([0., 1.])
Predicted tensor([0.3447, 0.6890]) Actual tensor([1., 0.])
Predicted tensor([0.3238, 0.6621]) Actual tensor([0., 1.])
Predicted tensor([0.2317, 0.7800]) Actual tensor([0., 1.])
Predicted tensor([0.6932, 0.3126]) Actual tensor([1., 0.])
Predicted tensor([0.1653, 0.8019]) Actual tensor([1., 0.])
Predicted tensor([0.9782, 0.0471]) Actual tensor([0., 1.])
Predicted tensor([0.0094, 0.9966]) Actual tensor([0., 1.])
Predicted tensor([0.6264, 0.3813]) Actual tensor([1., 0.])
Predicted tensor([0.1660, 0.8180]) Actual tensor([0., 1.])
Predicted tensor([0.7061, 0.3172]) Actual tensor([1., 0.])
Predicted tensor([0.7129, 0.2863]) Actual tensor([1., 0.])
Predicted tensor([0.1994, 0.8118]) Actual tensor([0., 1.])
Predicted tensor([0.8982, 0.1666]) Actual tensor([1., 0.])
Predicted tensor([0.9694, 0.0227]) Actual tensor([1., 0.])
Predicted tensor([0.0979, 0.8982]) Actual tensor([0., 1.])
Predicted tensor([0.2842, 0.7058]) Actual tensor([0., 1.])
Predicted tensor([0.1410, 0.8402]) Actual tensor([0., 1.])
Predicted tensor([ 1.0313, -0.0541]) Actual tensor([1., 0.])
Predicted tensor([0.4126, 0.5848]) Actual tensor([0., 1.])
Predicted tensor([0.2807, 0.6913]) Actual tensor([1., 0.])
Predicted tensor([0.6857, 0.2862]) Actual tensor([1., 0.])
Predicted tensor([0.6793, 0.3263]) Actual tensor([1., 0.])
Predicted tensor([0.8016, 0.2632]) Actual tensor([1., 0.])
Predicted tensor([0.3205, 0.7027]) Actual tensor([0., 1.])
Predicted tensor([0.1799, 0.8025]) Actual tensor([1., 0.])
Predicted tensor([0.3719, 0.6095]) Actual tensor([0., 1.])
Predicted tensor([0.0676, 0.9314]) Actual tensor([0., 1.])
Predicted tensor([0.7048, 0.3119]) Actual tensor([0., 1.])
Predicted tensor([0.5641, 0.4723]) Actual tensor([1., 0.])
Predicted tensor([0.2625, 0.7064]) Actual tensor([0., 1.])
Predicted tensor([0.5185, 0.5340]) Actual tensor([1., 0.])
Predicted tensor([0.7825, 0.2036]) Actual tensor([1., 0.])
Predicted tensor([0.3270, 0.6780]) Actual tensor([1., 0.])
Predicted tensor([0.2173, 0.7891]) Actual tensor([1., 0.])
